Location,Production,Startup
Müllheim,29.6,28.03.13
Brünisried,29.6,20.02.15
Wyssachen,29.6,22.12.11
Attiswil,29.6,07.05.12
Le Mont-sur-Lausanne,29.6,21.12.11
Muttenz,29.6,23.12.11
Grasswil,29.6,02.12.11
Embrach,29.6,18.10.11
Sax,29.6,15.02.16
Amden,29.6,12.03.15
Grabs,29.6,26.06.15
Kriessern,29.6,25.03.15
Waldkirch,29.6,26.03.15
Wolfwil,29.6,10.03.15
Bioggio,29.6,28.07.15
Weinfelden,29.6,31.01.12
Wettingen,29.6,24.08.15
Wettingen,29.6,24.08.15
Homburg,29.6,31.03.15
Gossau,29.6,16.12.11
Grabs,29.6,09.12.11
Oberriet,29.7,19.09.12
Flums,29.7,13.03.15
Auw,29.7,16.08.17
Wohlen bei Bern,29.7,09.12.11
Küssnacht am Rigi,29.7,28.03.17
Neuenkirch,29.7,22.09.16
Wilen,29.7,29.09.16
Zuzwil,29.7,31.03.17
Dussnang,29.7,16.07.11
Oberstammheim,29.7,12.05.10
